date_time,RC-095B,RC-128,RC.LSC-127,RC.SC-012,RC.SC-031,RC.TG-145,RC.TG-167,RC.TG-167B,RC.TG-174,RC.TG.DC-144,RC.TG.DC-163,RC.TG.DC.JD-124,RC.TG.DC.JD-124B,RC.TG.DC.JD-125,RC.TG.RME-166B,RC.TG.RME-176,RC.TG.RME-RMSP,RC.USC-J10,RC.USC-L21
2005-10-01 00:00:00+00:00,290.88219736973633,255.61925667205293,307.45264953346333,288.7769124973081,279.76455748657224,301.7032706864175,297.24985209938615,277.97349446664504,305.48765020426436,296.03857319306564,285.6764164170185,303.6125017330893,,309.3771430962996,270.9094518339873,242.74320420917653,250.7221331338427,296.34558520375333,258.93047406904304
2005-10-01 01:00:00+00:00,290.88219736973633,255.61925667205293,296.12436765643366,288.7769124973081,279.76455748657224,299.8045717301273,304.77315223626135,282.3225960616082,322.61663507946565,322.9867650289098,303.269051432496,292.58824525480975,,299.85914817998383,275.10895673290327,278.3372610702738,258.9260684147946,283.37713381816013,258.93047406904304
2005-10-01 02:00:00+00:00,307.45264953346333,293.1850887804011,299.8045717301273,315.77445846827203,295.08911516884837,316.8801137116795,342.049245971063,305.48765020426436,344.2291035316719,345.2362752765096,316.5580530250336,335.52013020491626,,307.4627211948502,311.2848228993709,295.4353178121685,280.156347568206,306.74310800816767,297.0040128732585
2005-10-01 03:00:00+00:00,346.2699045111891,344.6493648550251,365.5990455205296,372.8001354121882,333.28912883542495,365.73532019215264,414.7928459647918,355.65315924110536,376.58051244139597,384.6762730573056,364.38974897315916,367.19097844274324,,357.49962671515294,344.2291035316719,328.77779282137453,314.2961224925976,346.50465709656214,333.28912883542495
2005-10-01 04:00:00+00:00,431.4510901861967,408.2198391012677,441.69251277489036,434.2127350994737,365.0309686482763,402.1615676701194,443.15298772469527,396.23162573076837,401.4304177418837,451.2998396425883,417.57020815536333,429.00576358800964,,426.0187979897879,395.01513233928256,374.6683765993692,378.40476823514166,381.5697388027023,384.0658933454041
2005-10-01 05:00:00+00:00,442.56727921095484,414.54589323940206,448.4852789716526,512.9789947407306,444.38552088112124,440.2278529214254,440.2573619229129,405.5482607699559,429.9963343170981,466.2706164291127,419.7481261286506,450.1923341820729,,434.2127350994737,398.4635067840654,380.3967368609013,398.4635067840654,431.1964451716102,402.892071384518
2005-10-01 06:00:00+00:00,436.98209719309443,411.82648249195717,439.94650999144136,487.4727697958235,430.1555287016152,445.5060193090628,428.8406085941279,392.41974572824716,424.3086435380666,447.28064803742063,418.6873002123391,431.3063544816445,,433.30910180451997,390.63018048119227,385.73513048926833,390.63018048119227,421.81117838083367,402.892071384518
2005-10-01 07:00:00+00:00,431.45877932530414,426.0274248695501,437.13213084267227,460.1146620113994,427.35810927835104,431.3063544816445,463.48371426080934,417.68505752627,445.9823986714769,445.5182114384387,407.64101483315534,430.1555287016152,,422.3486401522914,398.7761330526481,393.3122997165801,396.1373337653464,416.32761598721015,414.54589323940206
2005-10-01 08:00:00+00:00,481.5615690549511,437.33818373423765,478.1989430080994,507.0732571860293,466.9272459459723,454.2214995919341,420.0321133511026,411.82648249195717,451.9462709209077,457.88370475801423,426.5913665151458,448.43222322232936,,478.1989430080994,401.4304177418837,408.71729178373596,417.57020815536333,463.96096078180585,428.8406085941279
2005-10-01 09:00:00+00:00,409.23978022593246,392.41974572824716,425.0657007272402,481.5615690549511,439.7776331697871,439.94650999144136,388.38910262219184,396.83251379868807,425.9437641637861,453.12063178213583,425.36118217890333,423.4895403198745,,428.7201571126968,384.7233985690467,380.3967368609013,378.40476823514166,404.095043308265,385.956547734858
2005-10-01 10:00:00+00:00,406.9516942627822,368.7047290769192,399.7394190466411,448.1139869322357,409.9731621401244,391.91151751760793,382.2135613632075,355.5686523768598,381.5697388027023,410.08014062132406,391.6817924618532,402.30884403718363,,412.07618684479445,339.7506165844902,340.82191873514273,328.98347614471686,379.7646781543124,342.4132982320923
2005-10-01 11:00:00+00:00,397.7706266659811,388.38910262219184,423.03481544006166,412.53845081531364,379.1454607144902,412.07618684479445,369.55505685389375,371.93248483587706,418.03572176984324,423.3252136206829,396.83251379868807,412.6996922412388,,407.8041256447431,342.4132982320923,346.4877584799093,334.2961692101022,388.9535771284261,358.3373145501377
2005-10-01 12:00:00+00:00,373.33536248504447,363.0048882306341,406.9516942627822,444.1865357244889,388.9535771284261,392.8354185474401,379.7646781543124,369.55505685389375,388.38910262219184,406.65429667810054,366.306941063634,396.4550863901999,,387.5498061195289,342.4132982320923,346.4877584799093,330.00445055112135,382.4059860525358,346.50465709656214
2005-10-01 13:00:00+00:00,390.38798689646814,377.05830568249365,399.3695531980332,522.9522958955253,402.30884403718363,412.07618684479445,399.58691447472864,362.50263797450805,401.9574395228033,404.08314802848685,381.5697388027023,388.9535771284261,,385.1483296321894,355.65315924110536,341.98340359404625,342.049245971063,372.8001354121882,360.66445780870873
2005-10-01 14:00:00+00:00,577.2616810034576,401.9574395228033,479.6872849876175,913.4995640994182,836.7812787304329,428.37021624477416,591.4411472753013,391.94951843331046,431.3063544816445,436.98209719309443,406.7465078699836,388.9535771284261,,441.9673519842234,368.7047290769192,371.7210841203965,356.0233500984652,386.4809452484707,372.2062384165738
2005-10-01 15:00:00+00:00,846.962411963403,776.6858868171576,844.4056341066499,910.570992612552,825.2705398901937,835.37011505254,808.4179006937762,748.4882331066938,655.1788092746604,790.0302646785651,620.6151299972138,770.9671377488722,,849.2929364719612,625.9570095696632,600.3035342035503,608.5733677558635,729.6907232553082,745.9448898827992
